teks,kategori
makan siang di warteg,Makanan
beli nasi padang,Makanan
jajan indomie,Makanan
makan malam di resto,Makanan
beli kopi kekinian,Makanan
sarapan bubur ayam,Makanan
beli snack di minimarket,Makanan
makan bakso,Makanan
beli ayam geprek,Makanan
jajan cimol,Makanan
beli galon air minum,Makanan
delivery makanan online,Makanan
beli buah di pasar,Makanan
makan di kantin kampus,Makanan
beli gorengan,Makanan
naik ojek online ke kampus,Transportasi
isi bensin motor,Transportasi
naik angkot,Transportasi
bayar parkir motor,Transportasi
naik bus antar kota,Transportasi
beli tiket kereta,Transportasi
servis motor,Transportasi
ganti oli motor,Transportasi
naik grab ke rumah,Transportasi
bayar tol,Transportasi
beli helm baru,Transportasi
top up e-toll,Transportasi
naik pesawat pulang kampung,Transportasi
bayar spp semester,Pendidikan
beli buku kuliah,Pendidikan
fotocopy modul,Pendidikan
print tugas skripsi,Pendidikan
bayar ukt,Pendidikan
beli alat tulis,Pendidikan
ikut kursus online,Pendidikan
beli laptop buat kuliah,Pendidikan
bayar wisuda,Pendidikan
beli kertas hvs,Pendidikan
daftar seminar proposal,Pendidikan
beli jurnal referensi,Pendidikan
nonton bioskop,Hiburan
langganan netflix,Hiburan
main game online beli item,Hiburan
nongkrong di cafe,Hiburan
karaoke bareng teman,Hiburan
beli tiket konser,Hiburan
langganan spotify,Hiburan
jalan-jalan ke mall,Hiburan
main futsal,Hiburan
beli pulsa buat streaming,Hiburan
liburan ke pantai,Hiburan
beli baju baru,Belanja
beli sepatu,Belanja
belanja bulanan di supermarket,Belanja
beli skincare,Belanja
beli tas,Belanja
belanja online di marketplace,Belanja
beli aksesoris hp,Belanja
beli perlengkapan mandi,Belanja
beli casing hp,Belanja
belanja kebutuhan kos,Belanja
beli obat di apotek,Kesehatan
periksa ke dokter,Kesehatan
beli vitamin,Kesehatan
bayar bpjs,Kesehatan
beli masker medis,Kesehatan
konsultasi psikolog,Kesehatan
cek kesehatan di puskesmas,Kesehatan
beli suplemen,Kesehatan
periksa gigi,Kesehatan
beli hand sanitizer,Kesehatan
gaji bulanan,Pemasukan
uang saku dari orang tua,Pemasukan
dapat bonus kerja,Pemasukan
hasil jual barang bekas,Pemasukan
dapat uang dari freelance,Pemasukan
terima transferan,Pemasukan
dapat beasiswa,Pemasukan
hasil jualan online,Pemasukan
dapat thr,Pemasukan
uang hasil part time,Pemasukan
bayar listrik kos,Lainnya
bayar wifi,Lainnya
bayar kos bulanan,Lainnya
donasi ke panti asuhan,Lainnya
bayar iuran organisasi,Lainnya
transfer ke teman,Lainnya
bayar denda,Lainnya
beli pulsa,Lainnya
bayar cicilan,Lainnya
sumbangan kegiatan kampus,Lainnya
